IPCA	SELIC	PIB	        EXPC	META	NINDC		
6.41	11.58	5778953.0	6.73	4.5	0.362111034		
7.14	11.82	5799337.5	6.97	4.5	0.3649355		
7.7	12.15	5810147.6	6.88	4.5	0.3694607		
8.13	12.58	5849467.3	7.01	4.5	0.373968121		
8.17	12.68	5866579.9	6.17	4.5	0.3789045		
8.47	13.15	5877069.0	6.11	4.5	0.381594722		
8.89	13.58	5907087.6	6.38	4.5	0.384418523		
9.56	13.69	5927825.7	5.98	4.5	0.387455429		
9.53	14.15	5943109.1	5.66	4.5	0.389857653		
9.49	14.15	5953164.4	6.15	4.5	0.39071534		
9.93	14.15	5968230.6	6.72	4.5	0.392825202		
10.48	14.15	5982816.4	7.16	4.5	0.396046369		
10.67	14.15	5995787.0	7.19	4.5	0.400046437		
10.71	14.15	6003844.3	7.29	4.5	0.403886883		
10.36	14.15	6027794.3	7.01	4.5	0.409016247		
9.39	14.15	6036767.5	6.52	4.5	0.412697393		
9.28	14.15	6051789.1	6.21	4.5	0.414471992		
9.32	14.15	6072727.4	6.17	4.5	0.417000271		
8.84	14.15	6112556.4	6.01	4.5	0.420252873		
8.74	14.15	6132644.3	5.7	4.5	0.421723758		
8.97	14.15	6164077.3	5.44	4.5	0.423916721		
8.48	14.15	6178838.3	5.07	4.5	0.425781955		
7.87	14.05	6185968.4	4.87	4.5	0.426122581		
6.99	13.9	6214058.7	4.8	4.5	0.427230499		
6.29	13.65	6259227.8	4.69	4.5	0.427999514		
5.35	13.17	6296743.5	4.71	4.5	0.429283513		
4.76	12.82	6319942.7	4.53	4.5	0.43091479		
4.57	12.15	6346698.1	4.45	4.5	0.432336809		
4.08	11.59	6363404.2	4.45	4.5	0.433417651		
3.6	11.15	6400205.6	4.64	4.5	0.434024436		
3.0	10.15	6421855.1	4.12	4.5	0.435369911		
2.71	10.01	6447952.4	4.47	4.5	0.434368561		
2.46	9.15	6471132.4	4.37	4.5	0.435411045		
2.54	8.35	6488752.9	3.89	4.5	0.436238326		
2.7	8.01	6512882.7	4.14	4.5	0.436936307		
2.8	7.4	6538335.4	3.99	4.5	0.43877144		
2.95	7.0	6559940.3	3.8	4.5	0.44		
